"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"org.apache.tika.parser.iwork.IWorkPackageParser$IWORKDocumentType";"32";"1";"1";"17.00";"1"
"java.util.zip.ZipCoder";"32";"1";"1";"18.00";"1"
"java.util.concurrent.ConcurrentHashMap$Segment";"32";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.XMLEntityScanner$1";"32";"1";"1";"18.00";"1"
"short[]";"32";"1";"2";"18.00";"1"
"java.lang.ref.ReferenceQueue";"24";"1";"1";"18.00";"1"
"java.security.AccessControlContext";"24";"1";"1";"0.00";"1"
"java.util.concurrent.locks.ReentrantReadWriteLock";"24";"1";"1";"18.00";"1"
"java.math.RoundingMode";"24";"1";"1";"17.00";"1"
"java.util.LinkedList$Node";"24";"1";"1";"17.00";"1"
"java.io.ExpiringCache$Entry";"24";"1";"1";"18.00";"1"
"java.util.regex.Pattern$Branch";"24";"1";"1";"18.00";"1"
"java.security.BasicPermissionCollection";"24";"1";"1";"18.00";"1"
"java.util.Date";"24";"1";"1";"17.00";"1"
"java.security.Permissions";"24";"1";"1";"18.00";"1"
"org.apache.tika.sax.xpath.NamedElementMatcher";"24";"1";"1";"17.00";"1"
"javax.xml.namespace.QName";"24";"1";"1";"17.00";"1"
"java.util.regex.Pattern$Node[]";"24";"1";"1";"18.00";"1"
"java.util.Hashtable$Entry";"24";"1";"1";"18.00";"1"
"java.security.Provider$ServiceKey";"24";"1";"1";"17.00";"1"
"com.sun.org.apache.xerces.internal.util.Status";"24";"1";"1";"18.00";"1"
"java.util.Vector";"24";"1";"1";"18.00";"1"
"org.apache.tika.parser.iwork.IWorkPackageParser$IWORKDocumentType[]";"24";"1";"1";"17.00";"1"
"java.util.ArrayDeque";"24";"1";"1";"18.00";"1"
"org.apache.log4j.Level";"24";"1";"1";"18.00";"1"
"org.apache.tika.parser.microsoft.OfficeParser$POIFSDocumentType";"24";"1";"1";"17.00";"1"
"org.apache.log4j.ProvisionNode";"24";"1";"1";"18.00";"1"
"de.unibi.cebitec.bibiserv.search.suffixtree.CharacterTypes[]";"24";"1";"1";"16.00";"1"
"java.lang.ThreadLocal$ThreadLocalMap";"24";"1";"1";"17.00";"1"
"java.lang.RuntimePermission";"24";"1";"1";"18.00";"1"
"sun.util.LocaleServiceProviderPool";"24";"1";"1";"17.00";"1"
"java.util.regex.Pattern$GroupTail";"24";"1";"1";"18.00";"1"
"java.io.ObjectStreamField[]";"24";"1";"1";"18.00";"1"
"java.util.regex.Pattern$7";"24";"1";"1";"18.00";"1"
"java.util.Currency";"24";"1";"1";"17.00";"1"
"java.util.regex.Pattern$5";"24";"1";"1";"18.00";"1"
"de.unibi.cebitec.bibiserv.search.ProfilingMode[]";"24";"1";"1";"18.00";"1"
