"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"de.unibi.cebitec.bibiserv.search.index.Occurence";"843336";"35139";"35139";"12.73";"24"
"java.util.HashMap$Entry[]";"509544";"6396";"10519";"15.57";"27"
"java.util.HashMap$Entry";"461808";"19242";"48361";"17.60";"32"
"java.util.HashMap";"305424";"6363";"7901";"15.97";"29"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeEdge";"131544";"5481";"5481";"15.82";"24"
"java.lang.Object[]";"131432";"2347";"220332";"16.16";"26"
"de.unibi.cebitec.bibiserv.search.util.IntPointer";"67456";"4216";"38477";"15.78";"24"
"java.util.ArrayList";"64824";"2701";"219979";"15.51";"27"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeLeaf";"58064";"3629";"3629";"15.81";"24"
"java.util.HashSet";"58032";"3627";"3643";"15.80";"24"
"char[]";"57960";"2151";"4611325";"123.75";"53"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeCharacter";"53648";"3353";"235560";"15.88";"24"
"java.lang.String";"50472";"2103";"1786200";"125.26";"43"
"de.unibi.cebitec.bibiserv.search.suffixtree.SuffixTreeSplitNode";"29120";"1820";"1821";"15.82";"24"
"java.util.concurrent.locks.ReentrantLock$NonfairSync";"22296";"929";"929";"16.30";"25"
"de.unibi.cebitec.bibiserv.search.util.StringPointer";"15280";"955";"35990";"16.07";"23"
"de.unibi.cebitec.bibiserv.search.index.WordID";"14768";"923";"923";"16.05";"24"
"de.unibi.cebitec.bibiserv.search.index.OccurenceSet";"14624";"914";"914";"16.00";"24"
"de.unibi.cebitec.bibiserv.search.util.MultiListMap";"14592";"912";"912";"16.10";"24"
"java.util.concurrent.locks.ReentrantLock";"14560";"910";"910";"16.29";"25"
"org.apache.fontbox.afm.KernPair";"4584";"191";"191";"207.15";"2"
"org.apache.fontbox.afm.CharMetric";"2816";"44";"44";"207.39";"2"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]";"2064";"1";"3";"212.00";"1"
"java.util.concurrent.ConcurrentHashMap$HashEntry";"1944";"81";"85";"132.16";"28"
"org.apache.pdfbox.cos.COSName";"1536";"64";"64";"120.33";"22"
"org.apache.pdfbox.cos.COSInteger[]";"1440";"1";"1";"212.00";"1"
"byte[]";"1056";"4";"505988";"212.00";"2"
"java.lang.Short[]";"1040";"1";"1";"214.00";"1"
"java.lang.String[][]";"1040";"1";"1";"207.00";"1"
"org.apache.fontbox.util.BoundingBox";"1032";"43";"43";"207.37";"2"
"java.lang.Integer";"992";"62";"54102";"208.44";"4"
"java.lang.String[]";"576";"3";"16345";"213.00";"1"
"char[][][]";"424";"1";"1";"207.00";"1"
"java.util.LinkedHashMap$Entry";"384";"12";"13359";"208.83";"2"
"int[]";"376";"3";"345798";"175.67";"2"
"java.util.Hashtable$Entry";"360";"15";"185";"209.20";"3"
"sun.security.pkcs11.SessionKeyRef";"360";"9";"66";"71.22";"2"
"java.lang.reflect.Constructor";"320";"5";"5";"175.80";"5"
"boolean[]";"304";"2";"5";"211.00";"2"
"java.util.TreeMap$Entry";"256";"8";"249";"57.00";"1"
"java.text.SimpleDateFormat[]";"216";"1";"1";"208.00";"1"
"java.lang.reflect.Method[]";"192";"1";"1";"214.00";"1"
"long[]";"176";"1";"1";"213.00";"1"
"java.lang.reflect.Method";"160";"2";"2";"213.00";"2"
"org.apache.fontbox.afm.FontMetric";"144";"1";"1";"208.00";"1"
"java.text.DecimalFormat";"136";"1";"1";"213.00";"1"
"java.lang.Object";"136";"17";"110";"192.53";"10"
"java.util.GregorianCalendar";"112";"1";"2";"213.00";"1"
"java.text.DateFormat$Field[]";"104";"1";"1";"213.00";"1"
"java.security.CodeSource";"96";"3";"7";"152.67";"3"
"org.apache.pdfbox.cos.COSInteger";"96";"4";"11240";"210.00";"3"
"com.sun.crypto.provider.SunJCE";"96";"1";"1";"209.00";"1"
"sun.security.ec.SunEC";"96";"1";"1";"209.00";"1"
"java.lang.Package";"96";"2";"2";"211.50";"2"
"org.bouncycastle.jce.provider.BouncyCastleProvider";"96";"1";"1";"209.00";"1"
"java.util.LinkedList$Node";"96";"4";"10699";"208.50";"2"
"sun.security.smartcardio.SunPCSC";"96";"1";"1";"209.00";"1"
"com.sun.net.ssl.internal.ssl.Provider";"96";"1";"1";"209.00";"1"
"com.sun.security.sasl.Provider";"96";"1";"1";"209.00";"1"
"org.apache.fontbox.cff.encoding.CFFEncoding$Entry";"96";"6";"942";"158.00";"2"
"sun.util.calendar.Gregorian$Date";"96";"1";"2";"213.00";"1"
"org.jcp.xml.dsig.internal.dom.XMLDSigRI";"96";"1";"1";"209.00";"1"
"sun.security.jgss.SunProvider";"96";"1";"1";"209.00";"1"
"java.util.concurrent.ConcurrentHashMap$Segment[]";"80";"1";"1";"213.00";"1"
"java.util.WeakHashMap$Entry[]";"80";"1";"1";"214.00";"1"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]";"80";"1";"1";"213.00";"1"
"org.apache.pdfbox.util.PDFTextStripper$WordSeparator";"72";"1";"1";"207.00";"1"
"sun.net.www.protocol.jar.URLJarFile";"72";"1";"1";"214.00";"1"
"org.apache.tika.metadata.Property$ValueType[]";"72";"1";"1";"213.00";"1"
"sun.security.x509.X509CertImpl";"72";"1";"1";"185.00";"1"
"java.util.logging.Logger";"64";"1";"1";"208.00";"1"
"byte[][]";"64";"1";"1";"111.00";"1"
"java.lang.reflect.Field";"64";"1";"7";"212.00";"1"
"short[]";"64";"2";"3";"211.50";"2"
"java.text.SimpleDateFormat";"64";"1";"1";"213.00";"1"
"org.apache.pdfbox.pdmodel.font.PDType1Font";"64";"1";"6";"207.00";"1"
"java.lang.ref.SoftReference";"64";"2";"964";"196.50";"2"
"java.util.regex.Pattern";"64";"1";"84821";"214.00";"1"
"java.lang.Short";"64";"4";"17";"214.00";"1"
"org.bouncycastle.asn1.DERObjectIdentifier";"64";"4";"4";"209.00";"1"
"java.util.LinkedHashMap";"56";"1";"1882";"213.00";"1"
"java.security.CryptoPrimitive[]";"56";"1";"1";"185.00";"1"
"org.apache.commons.logging.impl.WeakHashtable";"56";"1";"1";"212.00";"1"
"sun.security.pkcs11.P11Key$P11RSAPublicKey";"56";"1";"1";"185.00";"1"
"java.lang.reflect.Field[]";"56";"1";"1";"212.00";"1"
"sun.security.x509.X509CertInfo";"56";"1";"1";"185.00";"1"
"org.apache.tika.parser.microsoft.OfficeParser$POIFSDocumentType[]";"56";"1";"1";"213.00";"1"
"sun.security.pkcs11.P11Key$P11DSAPublicKey";"56";"1";"1";"185.00";"1"
"java.net.SocketPermission";"56";"1";"1";"185.00";"1"
"java.util.jar.JarFile";"56";"1";"1";"214.00";"1"
"java.util.Hashtable$Entry[]";"56";"1";"12";"133.00";"1"
"java.util.Locale[]";"56";"1";"1";"208.00";"1"
"java.util.Properties";"56";"1";"1";"214.00";"1"
"java.util.WeakHashMap";"56";"1";"1";"214.00";"1"
"sun.security.util.MemoryCache$HardCacheEntry";"48";"2";"65";"121.00";"2"
"org.ccil.cowan.tagsoup.ElementType";"48";"1";"1";"213.00";"1"
